<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,return
FLC,20111005,13.9241,13.9241,8.0794,13.9241,1004400,8.725120445
FLC,20111006,13.9241,13.9241,12.8067,12.8067,1100,-6.289924852
FLC,20111007,12.8067,13.6663,12.8067,13.6663,181500,-6.470157477
FLC,20111010,13.6663,14.6117,13.6663,14.6117,120300,0
FLC,20111011,14.6117,14.6977,13.8382,14.6117,143300,6.249909105
FLC,20111012,14.6117,14.6117,13.4084,13.7522,134200,4.575491426
FLC,20111013,13.7522,14.3539,12.8927,13.1505,44700,3.377932206
FLC,20111014,13.1505,13.3224,12.7208,12.7208,79500,5.714190739
FLC,20111017,12.7208,12.7208,12.0332,12.0332,5000,6.870581548
FLC,20111018,12.0332,12.0332,11.2596,11.2596,6500,6.503972758
FLC,20111019,11.2596,12.0332,10.4861,10.572,248800,-3.90663346
FLC,20111020,10.572,11.0018,9.8844,11.0018,50500,5.785521293
FLC,20111021,11.0018,11.1737,10.4001,10.4001,17200,-0.820133319
FLC,20111024,10.4001,10.9158,10.3142,10.4861,43800,2.521460276
FLC,20111025,10.4861,10.572,10.1422,10.2282,33700,1.709376212
FLC,20111026,10.2282,10.2282,10.0563,10.0563,11300,2.632062378
FLC,20111027,10.0563,10.3142,9.7984,9.7984,22500,-5.000872583
FLC,20111028,9.7984,10.9158,9.5406,10.3142,169300,4.348265954
FLC,20111031,10.3142,10.658,9.5406,9.8844,112300,3.603546947
FLC,20111101,9.8844,10.2282,9.5406,9.5406,61900,3.738256785
FLC,20111102,9.5406,9.7984,9.1968,9.1968,37200,5.940491412
FLC,20111103,9.1968,9.1968,8.6811,8.6811,39600,-5.607385177
FLC,20111104,8.6811,9.2827,8.0794,9.1968,765400,-4.46371994
FLC,20111107,9.1968,9.6265,9.1968,9.6265,231200,3.703663805
FLC,20111108,9.6265,9.8844,9.0249,9.2827,191600,0
FLC,20111109,9.2827,9.6265,9.0249,9.2827,385800,3.846110819
FLC,20111110,9.2827,9.2827,8.767,8.9389,253500,-2.804236256
FLC,20111111,8.9389,9.7125,8.853,9.1968,377500,3.883429346
FLC,20111114,9.1968,9.4546,8.767,8.853,448400,-2.829608816
FLC,20111115,8.853,9.3687,8.5951,9.1108,317200,0
FLC,20111116,9.1108,9.4546,8.2513,9.1108,486700,0
FLC,20111117,9.1108,9.5406,9.0249,9.1108,448700,-3.636325175
FLC,20111118,9.1108,9.7125,9.0249,9.4546,312600,-2.655341055
FLC,20111121,9.4546,9.7125,9.1108,9.7125,232100,-5.041942864
FLC,20111122,9.7125,10.2282,9.6265,10.2282,252600,-5.555914644
FLC,20111123,10.2282,10.8299,10.2282,10.8299,151900,-5.970045583
FLC,20111124,10.8299,11.5175,10.8299,11.5175,218300,-4.285643054
FLC,20111125,11.5175,12.291,11.5175,12.0332,442100,-6.039807288
FLC,20111128,12.0332,12.8067,12.0332,12.8067,424400,-5.696486823
FLC,20111129,12.8067,13.5803,12.8067,13.5803,543800,1.282032159
FLC,20111130,13.5803,14.096,13.3224,13.4084,369700,6.122772026
FLC,20111201,13.4084,13.9241,12.6348,12.6348,291800,0.684522149
FLC,20111202,12.6348,12.9786,12.291,12.5489,315200,-2.013008816
FLC,20111205,12.5489,13.3224,12.0332,12.8067,227100,0
FLC,20111206,12.8067,13.5803,12.8067,12.8067,259000,4.19575299
FLC,20111207,12.8067,12.8067,12.291,12.291,279600,2.877661712
FLC,20111208,12.291,12.4629,11.6894,11.9472,214500,-2.79716866
FLC,20111209,11.9472,12.291,11.6034,12.291,296000,-2.721056131
FLC,20111212,12.291,12.8067,11.9472,12.6348,353800,-2.000356791
FLC,20111213,12.6348,13.1505,12.377,12.8927,439500,3.44863555
FLC,20111214,12.8927,13.1505,12.4629,12.4629,152200,0.694029248
FLC,20111215,12.4629,12.7208,12.2051,12.377,257600,-5.263077323
FLC,20111216,12.377,13.2365,12.0332,13.0646,335400,-3.797412428
FLC,20111219,13.0646,13.5803,12.4629,13.5803,538000,-4.242702017
FLC,20111220,13.5803,14.182,13.2365,14.182,431500,-4.624199709
FLC,20111221,14.182,14.8696,14.182,14.8696,308500,-3.35190084
FLC,20111222,14.8696,15.815,14.8696,15.3853,281800,4.070050597
FLC,20111223,15.3853,15.3853,14.4398,14.7836,356800,-4.97261718
FLC,20111226,14.7836,15.5572,14.5258,15.5572,353200,-4.232739092
FLC,20111227,15.5572,16.3307,15.5572,16.2448,283800,-6.435820345
FLC,20111228,16.2448,17.3622,16.2448,17.3622,267600,-0.492317215
FLC,20111229,17.3622,18.3936,16.1588,17.4481,238800,0.995010477
FLC,20111230,17.4481,17.8779,16.3307,17.2762,725800,-6.074939109
FLC,20120103,17.2762,18.6514,16.7605,18.3936,202300,-1.382201872
FLC,20120104,18.3936,19.339,18.3936,18.6514,148200,-4.405229897
FLC,20120105,18.6514,20.1126,18.2217,19.5109,114200,1.339005147
FLC,20120106,19.5109,20.2845,18.3936,19.2531,133300,2.752249512
FLC,20120109,19.2531,19.9407,18.3936,18.7374,146900,-3.53976834
FLC,20120110,18.7374,19.5109,18.3076,19.425,318400,0.444697244
FLC,20120111,19.425,20.1126,18.9952,19.339,210000,-1.746702705
FLC,20120112,19.339,20.3704,19.339,19.6828,203100,1.327155727
FLC,20120113,19.6828,20.1126,19.339,19.425,308000,-3.004004674
FLC,20120116,19.425,20.1126,18.5655,20.0266,255100,1.746702705
FLC,20120117,20.0266,20.0266,19.339,19.6828,141800,-6.147691457
FLC,20120118,19.6828,21.0581,18.3076,20.9721,287100,-2.399966493
FLC,20120119,20.9721,21.4878,20.7143,21.4878,187400,-5.447136942
FLC,20120120,21.4877,22.7257,19.896,22.7257,296500,-3.745039157
FLC,20120130,22.7257,23.6099,22.7257,23.6099,159500,-6.315868834
FLC,20120131,23.6099,25.2016,23.6099,25.2016,208300,-5.629303985
FLC,20120201,25.2016,26.7049,25.2016,26.7049,208600,-3.82158035
FLC,20120202,26.7049,28.0313,26.7049,27.766,149800,-5.421746254
FLC,20120203,27.766,29.5345,27.766,29.3577,169100,-0.598621951
FLC,20120206,29.3577,31.2146,29.1808,29.5345,204100,-0.59539436
FLC,20120207,29.5345,30.8609,28.1197,29.7114,232900,-5.352085756
FLC,20120208,29.7114,31.3915,28.385,31.3915,295900,-0.560055499
FLC,20120209,31.3915,31.922,30.4188,31.5683,208900,7.855014828
FLC,20120210,31.5683,31.5683,29.2692,29.2692,164800,-0.898271513
FLC,20120213,29.2692,30.0651,29.0924,29.5345,126200,-4.023072549
FLC,20120214,29.5345,30.7725,29.5345,30.7725,199000,3.880781422
